ID,SurveySessionID,QuestionID,QuestionName,SectionID,SubmittedAt,Duration,Selection,Text
48,24,23,QC1,4,2024-09-29 10:30:29.41123018 +0000 UTC,9,5,Social Sciences
79,21,23,QC1,4,2024-09-29 11:01:34.092346616 +0000 UTC,5,7,Engineering and Computer Studies
107,26,23,QC1,4,2024-09-30 14:03:07.933565992 +0000 UTC,5,2,Arts and Humanities (including history)
135,28,23,QC1,4,2024-09-30 14:11:52.966447143 +0000 UTC,4,3,Wirtschaft
207,40,23,QC1,4,2024-10-05 20:44:36.33708065 +0000 UTC,12,2,Arts and Humanities (including history)
269,47,23,QC1,4,2024-10-14 08:44:56.057826835 +0000 UTC,9,1,Law
308,51,23,QC1,4,2024-10-17 19:07:48.408447206 +0000 UTC,11,1,Law
384,57,23,QC1,4,2024-10-18 17:50:39.648063343 +0000 UTC,7,3,Economics
411,55,23,QC1,4,2024-10-21 09:36:28.399109351 +0000 UTC,13,3,Economics
480,64,23,QC1,4,2024-10-24 12:07:23.800230965 +0000 UTC,12,5,Social Sciences
522,69,23,QC1,4,2024-11-05 16:49:30.509127074 +0000 UTC,9,5,Social Sciences
642,76,23,QC1,4,2024-11-13 16:49:35.886916605 +0000 UTC,9,5,Social Sciences
678,94,23,QC1,4,2024-11-14 09:54:57.433945512 +0000 UTC,25,1,Law
698,95,23,QC1,4,2024-11-14 10:11:07.579869894 +0000 UTC,15,6,Business Administration
741,98,23,QC1,4,2024-11-21 10:45:51.036190007 +0000 UTC,5,5,Social Sciences
791,102,23,QC1,4,2024-11-27 15:16:10.887940923 +0000 UTC,17,5,Social Sciences
819,103,23,QC1,4,2024-11-27 16:54:49.366819753 +0000 UTC,9,1,Law
861,108,23,QC1,4,2024-12-02 08:03:42.622357314 +0000 UTC,36,8,Public Administration
899,115,23,QC1,4,2024-12-10 16:23:31.171184736 +0000 UTC,16,5,Social Sciences
937,117,23,QC1,4,2024-12-11 13:20:28.762197696 +0000 UTC,38,8,Public Administration and Police Management
965,119,23,QC1,4,2024-12-11 14:34:28.139912095 +0000 UTC,7,1,Law
1071,132,23,QC1,4,2024-12-17 11:58:39.311453822 +0000 UTC,23,8,Political Science
1194,148,23,QC1,4,2025-01-05 16:44:32.108547403 +0000 UTC,9,5,Social Sciences
1222,149,23,QC1,4,2025-01-05 16:56:34.585839207 +0000 UTC,5,1,Law
1252,151,23,QC1,4,2025-01-05 17:17:40.399198727 +0000 UTC,6,3,Economics
1280,152,23,QC1,4,2025-01-05 17:24:14.673998768 +0000 UTC,6,5,Social Sciences
1308,153,23,QC1,4,2025-01-05 17:32:08.468873005 +0000 UTC,5,1,Law
1336,154,23,QC1,4,2025-01-05 17:38:27.645605109 +0000 UTC,5,1,Law
1364,155,23,QC1,4,2025-01-05 18:34:39.807619165 +0000 UTC,3,1,Law
1392,156,23,QC1,4,2025-01-05 18:40:25.425851807 +0000 UTC,4,5,Social Sciences
1420,157,23,QC1,4,2025-01-05 18:50:31.226638426 +0000 UTC,11,6,Business Administration
1448,158,23,QC1,4,2025-01-05 19:02:00.931484495 +0000 UTC,3,1,Law
1476,159,23,QC1,4,2025-01-05 19:09:15.117958344 +0000 UTC,4,5,Social Sciences
1504,160,23,QC1,4,2025-01-05 19:19:54.842513116 +0000 UTC,3,1,Law
1532,161,23,QC1,4,2025-01-05 19:25:22.806422418 +0000 UTC,6,3,Economics
1560,162,23,QC1,4,2025-01-05 19:29:50.910934452 +0000 UTC,3,1,Law
1591,164,23,QC1,4,2025-01-05 19:34:33.496781549 +0000 UTC,2,1,Law
1619,165,23,QC1,4,2025-01-05 19:43:05.005784914 +0000 UTC,2,1,Law
1647,166,23,QC1,4,2025-01-05 19:47:23.768957337 +0000 UTC,3,1,Law
1675,167,23,QC1,4,2025-01-05 19:51:57.452429717 +0000 UTC,5,5,Social Sciences
1703,168,23,QC1,4,2025-01-07 14:04:59.782578254 +0000 UTC,16,5,Social Sciences
1731,169,23,QC1,4,2025-01-08 13:04:24.411215152 +0000 UTC,14,5,Social Sciences
1759,170,23,QC1,4,2025-01-15 14:00:56.621322464 +0000 UTC,13,5,Social Sciences
1807,176,23,QC1,4,2025-01-28 20:46:12.296721525 +0000 UTC,10,2,Kunst und Geisteswissenschaften (einschließlich Geschichte)
1843,179,23,QC1,4,2025-01-28 23:07:11.612952597 +0000 UTC,12,3,Economics
1947,191,23,QC1,4,2025-01-29 14:01:30.079855132 +0000 UTC,15,5,Social Sciences
2035,199,23,QC1,4,2025-02-03 16:10:08.515682053 +0000 UTC,24,5,Social Sciences
2068,201,23,QC1,4,2025-02-05 21:44:21.191818165 +0000 UTC,10,7,Engineering and Computer Studies
2177,217,23,QC1,4,2025-03-11 15:21:37.265061207 +0000 UTC,11,5,Social Sciences
2205,219,23,QC1,4,2025-03-17 16:22:33.95698938 +0000 UTC,7,1,Law
2233,220,23,QC1,4,2025-03-18 12:37:00.858264099 +0000 UTC,17,2,Arts and Humanities (including history)
2272,223,23,QC1,4,2025-03-18 17:40:33.599706473 +0000 UTC,11,5,Social Sciences
2300,224,23,QC1,4,2025-03-19 13:51:45.708040186 +0000 UTC,8,3,Economics
2387,231,23,QC1,4,2025-04-01 15:48:24.735770712 +0000 UTC,6,3,Economics
2415,232,23,QC1,4,2025-04-01 16:41:35.098862886 +0000 UTC,7,3,Economics
2469,236,23,QC1,4,2025-04-08 07:57:40.768958848 +0000 UTC,21,2,Arts and Humanities (including history)
