ID,SurveySessionID,QuestionID,QuestionName,SectionID,SubmittedAt,Duration,Row,Value,ColumnIndex,Text
47,24,22,QB4b,3,2024-09-29 10:30:20.519681755 +0000 UTC,3,1,2,2,My personal cultural views are aligned with the ...
78,21,22,QB4b,3,2024-09-29 11:01:28.863324757 +0000 UTC,4,1,0,0,My personal cultural views are aligned with the ...
106,26,22,QB4b,3,2024-09-30 14:03:03.22830551 +0000 UTC,8,1,0,0,My personal cultural views are aligned with the ...
134,28,22,QB4b,3,2024-09-30 14:11:48.898514452 +0000 UTC,2,1,2,2,Meine persönlichen kulturellen Ansichten sind ...
206,40,22,QB4b,3,2024-10-05 20:44:23.787096 +0000 UTC,8,1,1,1,My personal cultural views are aligned with the ...
268,47,22,QB4b,3,2024-10-14 08:44:46.882988524 +0000 UTC,24,1,98,6,My personal cultural views are aligned with the ...
307,51,22,QB4b,3,2024-10-17 19:07:37.403907507 +0000 UTC,10,1,1,1,My personal cultural views are aligned with the ...
383,57,22,QB4b,3,2024-10-18 17:50:32.318071311 +0000 UTC,3,1,0,0,My personal cultural views are aligned with the ...
410,55,22,QB4b,3,2024-10-21 09:36:15.523837515 +0000 UTC,17,1,0,0,My personal cultural views are aligned with the ...
479,64,22,QB4b,3,2024-10-24 12:07:11.78334848 +0000 UTC,6,1,1,1,My personal cultural views are aligned with the ...
521,69,22,QB4b,3,2024-11-05 16:49:21.356099703 +0000 UTC,24,1,0,0,My personal cultural views are aligned with the ...
641,76,22,QB4b,3,2024-11-13 16:49:26.796571948 +0000 UTC,9,1,0,0,My personal cultural views are aligned with the ...
677,94,22,QB4b,3,2024-11-14 09:54:32.533705156 +0000 UTC,21,1,4,4,My personal cultural views are aligned with the ...
697,95,22,QB4b,3,2024-11-14 10:10:52.107441957 +0000 UTC,14,1,2,2,My personal cultural views are aligned with the ...
740,98,22,QB4b,3,2024-11-21 10:45:45.631921121 +0000 UTC,25,1,1,1,My personal cultural views are aligned with the ...
790,102,22,QB4b,3,2024-11-27 15:15:54.098356483 +0000 UTC,16,1,1,1,My personal cultural views are aligned with the ...
818,103,22,QB4b,3,2024-11-27 16:54:40.031090156 +0000 UTC,10,1,0,0,My personal cultural views are aligned with the ...
860,108,22,QB4b,3,2024-12-02 08:03:06.667067812 +0000 UTC,45,1,0,0,My personal cultural views are aligned with the ...
898,115,22,QB4b,3,2024-12-10 16:23:14.704845604 +0000 UTC,12,1,1,1,My personal cultural views are aligned with the ...
936,117,22,QB4b,3,2024-12-11 13:19:50.72615638 +0000 UTC,25,1,2,2,My personal cultural views are aligned with the ...
964,119,22,QB4b,3,2024-12-11 14:34:21.164928112 +0000 UTC,9,1,4,4,My personal cultural views are aligned with the ...
1070,132,22,QB4b,3,2024-12-17 11:58:16.437189348 +0000 UTC,10,1,1,1,My personal cultural views are aligned with the ...
1193,148,22,QB4b,3,2025-01-05 16:44:22.907184774 +0000 UTC,7,1,0,0,My personal cultural views are aligned with the ...
1221,149,22,QB4b,3,2025-01-05 16:56:29.592643091 +0000 UTC,2,1,3,3,My personal cultural views are aligned with the ...
1251,151,22,QB4b,3,2025-01-05 17:17:34.20058585 +0000 UTC,3,1,1,1,My personal cultural views are aligned with the ...
1279,152,22,QB4b,3,2025-01-05 17:24:08.625746399 +0000 UTC,2,1,1,1,My personal cultural views are aligned with the ...
1307,153,22,QB4b,3,2025-01-05 17:32:03.501780325 +0000 UTC,2,1,3,3,My personal cultural views are aligned with the ...
1335,154,22,QB4b,3,2025-01-05 17:38:22.391708142 +0000 UTC,2,1,3,3,My personal cultural views are aligned with the ...
1363,155,22,QB4b,3,2025-01-05 18:34:36.940166533 +0000 UTC,1,1,3,3,My personal cultural views are aligned with the ...
1391,156,22,QB4b,3,2025-01-05 18:40:20.912313561 +0000 UTC,2,1,2,2,My personal cultural views are aligned with the ...
1419,157,22,QB4b,3,2025-01-05 18:50:20.21615532 +0000 UTC,1,1,3,3,My personal cultural views are aligned with the ...
1447,158,22,QB4b,3,2025-01-05 19:01:57.297033872 +0000 UTC,1,1,3,3,My personal cultural views are aligned with the ...
1475,159,22,QB4b,3,2025-01-05 19:09:11.059455989 +0000 UTC,1,1,2,2,My personal cultural views are aligned with the ...
1503,160,22,QB4b,3,2025-01-05 19:19:51.458127512 +0000 UTC,2,1,3,3,My personal cultural views are aligned with the ...
1531,161,22,QB4b,3,2025-01-05 19:25:16.395102484 +0000 UTC,2,1,4,4,My personal cultural views are aligned with the ...
1559,162,22,QB4b,3,2025-01-05 19:29:47.576735333 +0000 UTC,2,1,2,2,My personal cultural views are aligned with the ...
1590,164,22,QB4b,3,2025-01-05 19:34:30.7756887 +0000 UTC,2,1,3,3,My personal cultural views are aligned with the ...
1618,165,22,QB4b,3,2025-01-05 19:43:02.53587173 +0000 UTC,1,1,3,3,My personal cultural views are aligned with the ...
1646,166,22,QB4b,3,2025-01-05 19:47:20.628032462 +0000 UTC,1,1,3,3,My personal cultural views are aligned with the ...
1674,167,22,QB4b,3,2025-01-05 19:51:52.282213799 +0000 UTC,1,1,2,2,My personal cultural views are aligned with the ...
1702,168,22,QB4b,3,2025-01-07 14:04:44.075189606 +0000 UTC,24,1,0,0,My personal cultural views are aligned with the ...
1730,169,22,QB4b,3,2025-01-08 13:04:10.596384459 +0000 UTC,15,1,0,0,My personal cultural views are aligned with the ...
1758,170,22,QB4b,3,2025-01-15 14:00:43.542905303 +0000 UTC,12,1,1,1,My personal cultural views are aligned with the ...
1806,176,22,QB4b,3,2025-01-28 20:46:02.573878597 +0000 UTC,35,1,3,3,Meine persönlichen kulturellen Ansichten sind ...
1842,179,22,QB4b,3,2025-01-28 23:06:58.963238355 +0000 UTC,7,1,1,1,My personal cultural views are aligned with the ...
1946,191,22,QB4b,3,2025-01-29 14:01:15.3054191 +0000 UTC,9,1,0,0,My personal cultural views are aligned with the ...
2034,199,22,QB4b,3,2025-02-03 16:09:44.80674084 +0000 UTC,21,1,0,0,My personal cultural views are aligned with the ...
2067,201,22,QB4b,3,2025-02-05 21:44:10.742185573 +0000 UTC,4,1,98,6,My personal cultural views are aligned with the ...
