ID,SurveySessionID,QuestionID,QuestionName,SectionID,SubmittedAt,Duration,Row,Value,ColumnIndex,Text
46,24,21,QB4a,3,2024-09-29 10:30:17.694617551 +0000 UTC,4,1,2,2,My personal economic views are aligned with the ...
77,21,21,QB4a,3,2024-09-29 11:01:24.903822973 +0000 UTC,4,1,0,0,My personal economic views are aligned with the ...
105,26,21,QB4a,3,2024-09-30 14:02:54.81353641 +0000 UTC,4,1,5,5,My personal economic views are aligned with the ...
133,28,21,QB4a,3,2024-09-30 14:11:46.446837211 +0000 UTC,3,1,3,3,Meine persönlichen wirtschaftlichen Ansichten sind ...
205,40,21,QB4a,3,2024-10-05 20:44:15.591310117 +0000 UTC,12,1,3,3,My personal economic views are aligned with the ...
267,47,21,QB4a,3,2024-10-14 08:44:22.72288965 +0000 UTC,14,1,1,1,My personal economic views are aligned with the ...
306,51,21,QB4a,3,2024-10-17 19:07:27.41046857 +0000 UTC,8,1,3,3,My personal economic views are aligned with the ...
382,57,21,QB4a,3,2024-10-18 17:50:28.758290842 +0000 UTC,4,1,2,2,My personal economic views are aligned with the ...
409,55,21,QB4a,3,2024-10-21 09:35:58.316143759 +0000 UTC,32,1,4,4,My personal economic views are aligned with the ...
478,64,21,QB4a,3,2024-10-24 12:07:05.631259985 +0000 UTC,7,1,2,2,My personal economic views are aligned with the ...
520,69,21,QB4a,3,2024-11-05 16:48:56.948824726 +0000 UTC,26,1,2,2,My personal economic views are aligned with the ...
640,76,21,QB4a,3,2024-11-13 16:49:17.252146263 +0000 UTC,25,1,2,2,My personal economic views are aligned with the ...
676,94,21,QB4a,3,2024-11-14 09:54:11.609666304 +0000 UTC,63,1,3,3,My personal economic views are aligned with the ...
696,95,21,QB4a,3,2024-11-14 10:10:37.619242741 +0000 UTC,25,1,2,2,My personal economic views are aligned with the ...
739,98,21,QB4a,3,2024-11-21 10:45:20.43613995 +0000 UTC,42,1,1,1,My personal economic views are aligned with the ...
789,102,21,QB4a,3,2024-11-27 15:15:37.905195167 +0000 UTC,16,1,3,3,My personal economic views are aligned with the ...
817,103,21,QB4a,3,2024-11-27 16:54:29.56680999 +0000 UTC,21,1,1,1,My personal economic views are aligned with the ...
859,108,21,QB4a,3,2024-12-02 08:02:21.827470012 +0000 UTC,51,1,3,3,My personal economic views are aligned with the ...
897,115,21,QB4a,3,2024-12-10 16:23:03.003908154 +0000 UTC,33,1,1,1,My personal economic views are aligned with the ...
935,117,21,QB4a,3,2024-12-11 13:19:25.771829715 +0000 UTC,24,1,0,0,My personal economic views are aligned with the ...
963,119,21,QB4a,3,2024-12-11 14:34:12.296246652 +0000 UTC,18,1,5,5,My personal economic views are aligned with the ...
1069,132,21,QB4a,3,2024-12-17 11:58:06.719782095 +0000 UTC,33,1,1,1,My personal economic views are aligned with the ...
1192,148,21,QB4a,3,2025-01-05 16:44:15.992163356 +0000 UTC,7,1,1,1,My personal economic views are aligned with the ...
1220,149,21,QB4a,3,2025-01-05 16:56:27.05043418 +0000 UTC,3,1,3,3,My personal economic views are aligned with the ...
1250,151,21,QB4a,3,2025-01-05 17:17:30.496023748 +0000 UTC,3,1,3,3,My personal economic views are aligned with the ...
1278,152,21,QB4a,3,2025-01-05 17:24:06.222917953 +0000 UTC,4,1,1,1,My personal economic views are aligned with the ...
1306,153,21,QB4a,3,2025-01-05 17:32:01.276113536 +0000 UTC,6,1,3,3,My personal economic views are aligned with the ...
1334,154,21,QB4a,3,2025-01-05 17:38:20.510685577 +0000 UTC,7,1,2,2,My personal economic views are aligned with the ...
1362,155,21,QB4a,3,2025-01-05 18:34:35.255815987 +0000 UTC,5,1,2,2,My personal economic views are aligned with the ...
1390,156,21,QB4a,3,2025-01-05 18:40:18.498556297 +0000 UTC,3,1,3,3,My personal economic views are aligned with the ...
1418,157,21,QB4a,3,2025-01-05 18:50:18.692140545 +0000 UTC,3,1,3,3,My personal economic views are aligned with the ...
1446,158,21,QB4a,3,2025-01-05 19:01:55.627772392 +0000 UTC,2,1,3,3,My personal economic views are aligned with the ...
1474,159,21,QB4a,3,2025-01-05 19:09:09.452558841 +0000 UTC,6,1,1,1,My personal economic views are aligned with the ...
1502,160,21,QB4a,3,2025-01-05 19:19:49.3042509 +0000 UTC,3,1,3,3,My personal economic views are aligned with the ...
1530,161,21,QB4a,3,2025-01-05 19:25:13.975022049 +0000 UTC,3,1,3,3,My personal economic views are aligned with the ...
1558,162,21,QB4a,3,2025-01-05 19:29:45.821441874 +0000 UTC,3,1,3,3,My personal economic views are aligned with the ...
1589,164,21,QB4a,3,2025-01-05 19:34:28.246443974 +0000 UTC,3,1,4,4,My personal economic views are aligned with the ...
1617,165,21,QB4a,3,2025-01-05 19:43:01.246792853 +0000 UTC,2,1,3,3,My personal economic views are aligned with the ...
