ID,SurveySessionID,QuestionID,QuestionName,SectionID,SubmittedAt,Duration,Row,Value,ColumnIndex,Text
38,24,13,QA7,2,2024-09-29 10:28:53.917768104 +0000 UTC,18,8,1,1,I support granting (or promising to grant) visa facilitation to encourage reform where appropriate and necessary.
38,24,13,QA7,2,2024-09-29 10:28:53.917768104 +0000 UTC,18,11,2,2,I organize and/or contribute to thematic conferences.
38,24,13,QA7,2,2024-09-29 10:28:53.917768104 +0000 UTC,18,10,2,2,I refer to the prospect of EU membership in principle and the associated interim steps to provide incentives for reform where appropriate and necessary.
38,24,13,QA7,2,2024-09-29 10:28:53.917768104 +0000 UTC,18,13,3,3,"I invite or propose to invite experts in certain areas and technologies (e.g., water governance, migration)."
38,24,13,QA7,2,2024-09-29 10:28:53.917768104 +0000 UTC,18,6,4,4,I request further information on policies or reforms.
38,24,13,QA7,2,2024-09-29 10:28:53.917768104 +0000 UTC,18,4,3,3,I support the imposition of diplomatic sanctions where appropriate and necessary.
38,24,13,QA7,2,2024-09-29 10:28:53.917768104 +0000 UTC,18,3,4,4,"I express my support or actively support the activities of other international organizations, notably UN agencies."
38,24,13,QA7,2,2024-09-29 10:28:53.917768104 +0000 UTC,18,14,4,4,I use and advocate financial and technical assistance to encourage reform where appropriate and necessary.
38,24,13,QA7,2,2024-09-29 10:28:53.917768104 +0000 UTC,18,9,4,4,I refer to the possibility of association agreements to promote or support reforms where appropriate and necessary.
38,24,13,QA7,2,2024-09-29 10:28:53.917768104 +0000 UTC,18,7,3,3,I take part in or prepare activities to support EU positions at international conferences and summits.
38,24,13,QA7,2,2024-09-29 10:28:53.917768104 +0000 UTC,18,5,3,3,I support the imposition or threat of a travel/visa ban where appropriate and necessary.
38,24,13,QA7,2,2024-09-29 10:28:53.917768104 +0000 UTC,18,12,3,3,"I support the free and fair conduct of elections (e.g., by advocating for the presence of EU observers)."
38,24,13,QA7,2,2024-09-29 10:28:53.917768104 +0000 UTC,18,2,4,4,I meet and consult with relevant stakeholders from the eastern neighbouring countries at diplomatic visits.
38,24,13,QA7,2,2024-09-29 10:28:53.917768104 +0000 UTC,18,1,4,4,"I monitor developments and contribute to the drafting of declarations/ statements expressing the EU’s position (condemnation, concern, or support) on a particular situation."
38,24,13,QA7,2,2024-09-29 10:28:53.917768104 +0000 UTC,18,15,1,1,asdfasdfas
69,21,13,QA7,2,2024-09-29 11:00:17.843260963 +0000 UTC,12,8,0,0,I support granting (or promising to grant) visa facilitation to encourage reform where appropriate and necessary.
69,21,13,QA7,2,2024-09-29 11:00:17.843260963 +0000 UTC,12,11,0,0,I organize and/or contribute to thematic conferences.
69,21,13,QA7,2,2024-09-29 11:00:17.843260963 +0000 UTC,12,10,0,0,I refer to the prospect of EU membership in principle and the associated interim steps to provide incentives for reform where appropriate and necessary.
69,21,13,QA7,2,2024-09-29 11:00:17.843260963 +0000 UTC,12,13,0,0,"I invite or propose to invite experts in certain areas and technologies (e.g., water governance, migration)."
69,21,13,QA7,2,2024-09-29 11:00:17.843260963 +0000 UTC,12,6,0,0,I request further information on policies or reforms.
69,21,13,QA7,2,2024-09-29 11:00:17.843260963 +0000 UTC,12,4,0,0,I support the imposition of diplomatic sanctions where appropriate and necessary.
69,21,13,QA7,2,2024-09-29 11:00:17.843260963 +0000 UTC,12,3,0,0,"I express my support or actively support the activities of other international organizations, notably UN agencies."
69,21,13,QA7,2,2024-09-29 11:00:17.843260963 +0000 UTC,12,14,0,0,I use and advocate financial and technical assistance to encourage reform where appropriate and necessary.
69,21,13,QA7,2,2024-09-29 11:00:17.843260963 +0000 UTC,12,9,0,0,I refer to the possibility of association agreements to promote or support reforms where appropriate and necessary.
69,21,13,QA7,2,2024-09-29 11:00:17.843260963 +0000 UTC,12,7,0,0,I take part in or prepare activities to support EU positions at international conferences and summits.
69,21,13,QA7,2,2024-09-29 11:00:17.843260963 +0000 UTC,12,5,0,0,I support the imposition or threat of a travel/visa ban where appropriate and necessary.
69,21,13,QA7,2,2024-09-29 11:00:17.843260963 +0000 UTC,12,12,0,0,"I support the free and fair conduct of elections (e.g., by advocating for the presence of EU observers)."
69,21,13,QA7,2,2024-09-29 11:00:17.843260963 +0000 UTC,12,2,0,0,I meet and consult with relevant stakeholders from the eastern neighbouring countries at diplomatic visits.
69,21,13,QA7,2,2024-09-29 11:00:17.843260963 +0000 UTC,12,1,0,0,"I monitor developments and contribute to the drafting of declarations/ statements expressing the EU’s position (condemnation, concern, or support) on a particular situation."
97,26,13,QA7,2,2024-09-30 13:59:31.189656197 +0000 UTC,22,3,0,0,"I express my support or actively support the activities of other international organizations, notably UN agencies."
97,26,13,QA7,2,2024-09-30 13:59:31.189656197 +0000 UTC,22,14,0,0,I use and advocate financial and technical assistance to encourage reform where appropriate and necessary.
97,26,13,QA7,2,2024-09-30 13:59:31.189656197 +0000 UTC,22,13,0,0,"I invite or propose to invite experts in certain areas and technologies (e.g., water governance, migration)."
97,26,13,QA7,2,2024-09-30 13:59:31.189656197 +0000 UTC,22,4,1,1,I support the imposition of diplomatic sanctions where appropriate and necessary.
97,26,13,QA7,2,2024-09-30 13:59:31.189656197 +0000 UTC,22,11,2,2,I organize and/or contribute to thematic conferences.
97,26,13,QA7,2,2024-09-30 13:59:31.189656197 +0000 UTC,22,7,1,1,I take part in or prepare activities to support EU positions at international conferences and summits.
97,26,13,QA7,2,2024-09-30 13:59:31.189656197 +0000 UTC,22,12,1,1,"I support the free and fair conduct of elections (e.g., by advocating for the presence of EU observers)."
97,26,13,QA7,2,2024-09-30 13:59:31.189656197 +0000 UTC,22,5,1,1,I support the imposition or threat of a travel/visa ban where appropriate and necessary.
97,26,13,QA7,2,2024-09-30 13:59:31.189656197 +0000 UTC,22,6,1,1,I request further information on policies or reforms.
97,26,13,QA7,2,2024-09-30 13:59:31.189656197 +0000 UTC,22,10,0,0,I refer to the prospect of EU membership in principle and the associated interim steps to provide incentives for reform where appropriate and necessary.
97,26,13,QA7,2,2024-09-30 13:59:31.189656197 +0000 UTC,22,1,1,1,"I monitor developments and contribute to the drafting of declarations/ statements expressing the EU’s position (condemnation, concern, or support) on a particular situation."
97,26,13,QA7,2,2024-09-30 13:59:31.189656197 +0000 UTC,22,2,1,1,I meet and consult with relevant stakeholders from the eastern neighbouring countries at diplomatic visits.
